术语,定义,例句
合并——特殊目的主体,关于主体何时必须将其控制的特殊目的主体纳入合并的指引。,根据特殊目的主体合并的相关规定，该基金已纳入集团账目。
建造合同,为在约定期间内建造资产而订立的合同。,建造合同的收入在一段时间内确认。
建造合同,专为建造某项资产而协商订立的合同。,建造合同的收入按完工程度确认。
建造或升级服务,建造或改良基础设施资产的服务。,建造或升级服务产生的收入在一段时间内确认。
推定义务,因既定惯例或政策而产生的义务。,推定义务可能因已公布的政策而产生。
消费者价格指数,衡量消费者为购买一篮子商品和服务所支付的价格随时间平均变动的指标。,由于三年累计消费者价格指数超过100%，该经济被认为属于恶性通货膨胀经济。
或有事项,结果不确定的情况。,该或有事项已予披露，但未予确认。
或有资产,因过去事项而可能存在的资产，其存在仅由未来事项的发生予以证实。,或有资产予以披露，但不予确认。
或有对价,视未来事项或业绩而定而应付的额外对价。,或有对价在购买日按公允价值计量。
或有对价安排,在企业合并中约定如果发生特定未来事项即支付额外对价的协议。,该或有对价安排要求购买方在实现利润目标时支付更多款项。
或有负债,取决于不确定未来事项的可能义务。,该或有负债已予披露，但未予确认。
或有租金,根据未来条件而变动的租赁付款额。,或有租金取决于承租人的销售量。
或有结算条款,其结算取决于未来事项的条款。,为该项担保确认了一项或有结算条款。
或有股份协议,在满足条件时发行股份的协议。,该或有股份协议取决于未来的利润。
或有可发行普通股,在满足特定条件时主体可能被要求发行的普通股，纳入稀释每股收益的计算。,当条件满足时，或有可发行普通股纳入稀释每股收益的计算。
或有可发行股份,仅在满足特定条件时方可发行的股份。,当条件满足时，或有可发行股份纳入稀释每股收益的计算。
持续涉入,转让方对所转让资产保留的持续风险敞口。,转让方保留了对该应收款项的持续涉入。
持续涉入法,计量转让金融资产后所保留权益的方法。,对已转让的应收款项采用了持续涉入法。
持续经营业务,未被终止且在利润表中单独列报的主体经营业务。,尽管处置了零售部门，持续经营业务的利润仍有所上升。
合同,在各方之间设立可强制执行的权利和义务的协议。,该合同由双方于六月签署。
合同性无形资产,因合同性权利或法定权利而产生的无形资产。,许可证属于合同性无形资产。
可以（普通）股份或现金结算的合同,赋予主体或持有者以股份或现金进行结算之选择的合同。,以股份或现金结算的合同作为复合工具处理。
合同安排,受合同规限的安排。,该服务是在合同安排下提供的。
合同现金流量,合同条款规定的现金流量，用于评估金融资产是否通过仅支付本金和利息的测试。,根据合同现金流量的收取方式评估业务模式。
合同履行完毕,合同义务得以履行的日期。,收入可在合同履行完毕之日确认。
合同到期期限分析,对金融负债按合同将于何时到期所作的分析。,合同到期期限分析按期间列示现金流量。
合同义务,因合同产生的、可依法强制执行的义务。,该主体负有交付货物的合同义务。
收取现金流量的合同权利,因合同产生的、收取金融资产现金流量的法定权利。,该主体将其收取现金流量的合同权利转让给了保理商。
合同权利,因合同产生的可强制执行的权利。,商誉包括某些合同权利。
合同条款和条件,规定合同权利和义务的明示条款。,该工具的分类取决于其合同条款和条件。
合同——法律标准,根据法定权利或合同权利辨认无形资产的标准。,合同——法律标准支持确认该无形资产。
合同关联工具,现金流量通过合同相互关联的工具。,合同关联工具作为一个组别进行评估。
已缴股本,股东为换取主体股份而缴入的资本金额。,向现有股东发行新股后，已缴股本有所增加。
缴存额（出资）,向计划缴存的款项或所有者投入的款项。,养老金计划的缴存额按年支付。
缴存人（出资方）,向某项安排提供资产或资金的参与方。,每一缴存人按其份额比例获得利益。
控制,为获取利益而统驭主体财务和经营政策的权力。,母公司对其子公司拥有控制权。
（对资产的）控制,获取资产经济利益并限制他人获取这些利益的权力。,承租人取得了对该资产的控制，并确认了一项使用权资产。
（对企业的）控制,统驭主体财务和经营政策的权力。,对企业的控制于十月取得。
（对主体的）控制,为获取利益而统驭财务和经营政策的权力。,母公司于三月取得对该子公司的控制。
控制数,用以证明潜在普通股剩余影响的数字。,控制数证实了稀释每股亏损的情况。
受控主体,被另一主体控制的主体。,受控主体由其母公司合并。
便利翻译,仅为方便读者而将财务报表翻译成另一种货币，并未依据准则进行重述。,财务报表的便利翻译采用期末汇率编制。
趋同,使各国准则与国际准则趋于一致。,趋同旨在使会计准则在全球范围内协调一致。
转换系数,用于将可转换工具转换为股份的比率。,转换系数决定每张债券可转换的股份数。
转换选择权,将一项金融工具转换为另一项金融工具的权利。,该转换选择权是债券内的一项嵌入衍生工具。
可转换债券,持有者可将其转换为固定数量发行方普通股的债券。,该可转换债券被分拆为负债成分和权益成分。
可转换债务,可转换为发行方权益股份的债务。,该可转换债务被分拆为负债和权益。
