Bolum,Ingilizce_Terim,Turkce_Anlami,Ingilizce_Tanim,Ornek_Ingilizce,Ornek_Turkce
B,Bearer biological asset,Taşıyıcı canlı varlıklar,Living assets held to produce goods.,"Bearer plants are accounted for as property, plant and equipment.","Taşıyıcı canlı varlıklar, maddi duran varlık olarak muhasebeleştirilir."
B,Benchmark treatment,Temel Yöntem,"The preferred or reference accounting treatment allowed by a standard, used as the default approach unless an alternative is applied.",Entities should apply the benchmark treatment unless national regulations require an allowed alternative.,"İşletmeler, ulusal düzenlemeler kabul edilen bir alternatifi gerektirmedikçe temel yöntemi uygulamalıdır."
B,Beneficial contracts,İstihdam sözleşmeleri,Contracts entered into for the entity's benefit.,Beneficial contracts may be recognised in a business combination.,"Lehine sözleşmeler, işletme birleşmesinde tanınabilir."
B,Beneficiary,Lehdar,A person or entity entitled to receive benefits from an arrangement.,The beneficiary receives the trust distributions.,"Lehdar, tröst dağıtımlarını alır."
B,Benefit,Fayda,An advantage or entitlement received under a plan or contract.,Employees receive a pension benefit after retirement.,Çalışanlar emeklilik sonrası bir emeklilik faydası alır.
B,Benefit improvements,Fayda iyileşmeleri,"Increases in the benefits of a defined benefit plan, which give rise to past service cost.",The benefit improvements granted this year increased the defined benefit obligation.,Bu yıl sağlanan fayda iyileşmeleri belirlenmiş tazminat yükümlülüğünü artırmıştır.
B,Benefit obligation,Sağlanan faydalara ilişkin yükümlülükler,Present value of promised employee benefits payable.,The benefit obligation was measured at year end.,"Sağlanan faydalara ilişkin yükümlülük, yıl sonunda ölçüldü."
B,Benefit to users,Kullanıcılara sağlanan faydalar,The usefulness of financial information to primary users of financial statements.,Improved disclosures increase the benefit to users.,"İyileştirilmiş açıklamalar, kullanıcılara sağlanan faydayı artırır."
B,Best estimate,En iyi tahmin,The most likely amount used to measure a provision.,The provision is measured at management's best estimate.,"Karşılık, yönetimin en iyi tahminiyle ölçülür."
B,Bias,Sapma,A tendency that distorts judgement or information.,Bias in estimates can affect the neutrality of information.,"Tahminlerdeki sapma, bilginin tarafsızlığını etkileyebilir."
B,Bid bonds,Teminat tahvilleri,Guarantees or bonds provided by a party to secure its performance when bidding for a contract.,The contractor lodged bid bonds to support its tender for the construction project.,"Yüklenici, inşaat projesine ilişkin ihalesini desteklemek için teminat tahvilleri verdi."
B,Bid price,Alıcının teklif fiyatı,The price at which a buyer will purchase.,The bid price is used for short positions.,"Alıcının teklif fiyatı, kısa pozisyonlar için kullanılır."
B,Bid-ask spread,"Alış fiyatı-satış fiyatı arasındaki fark, fiyat marjı",The difference between the best bid and best ask price.,A narrow bid-ask spread indicates a liquid market.,"Dar bir alış-satış farkı, likit bir piyasaya işaret eder."
B,Bifurcation methodology,Çatallanma yöntemi,An approach separating an embedded derivative from its host contract.,The bifurcation methodology was applied to the convertible bond.,"Çatallanma yöntemi, dönüştürülebilir tahvil için uygulanmıştır."
B,Binding sale agreement,Bağlayıcı (vazgeçilmez) satış anlaşması,A legally enforceable agreement to sell an asset that commits the parties to the transaction.,"Because there was a binding sale agreement, the property was classified as held for sale.","Bağlayıcı bir satış anlaşması bulunduğundan, gayrimenkul satış amacıyla elde tutulan olarak sınıflandırılmıştır."
B,Binomial,Binomial,Two-outcome valuation model used for option pricing.,The binomial model valued the employee share options.,"Binomial model, çalışan hisse opsiyonlarını değerledi."
B,Biological asset,Canlı varlık,A living animal or plant within the scope of agricultural activity.,The biological asset was measured at fair value less costs to sell.,"Canlı varlık, satış maliyetleri düşülmüş gerçeğe uygun değerle ölçüldü."
B,Biological transformation,Biyolojik dönüşüm,"Growth, degeneration, production or procreation in living assets.",Biological transformation results in changes in an asset's fair value.,"Biyolojik dönüşüm, varlığın gerçeğe uygun değerinde değişiklik doğurur."
B,Black-Scholes-Merton formula,Black-Scholes-Merton formülü,An option pricing model.,The Black-Scholes-Merton formula values the share option.,"Black-Scholes-Merton formülü, hisse opsiyonunu değerler."
B,Board of directors,Yönetim kurulu,The governing body elected by shareholders to oversee the strategic direction and management of an entity.,The board of directors approved the annual financial statements for issue.,"Yönetim kurulu, yıllık finansal tabloların yayımlanmak üzere onaylanmasını kabul etti."
B,Bond,Tahvil,A debt security paying interest.,The bond is measured at amortised cost.,"Tahvil, itfa edilmiş maliyetiyle ölçülür."
B,Bonus issue,Bedelsiz hisse senedi verilmesi,Free shares issued to existing shareholders from reserves.,The company announced a one-for-ten bonus issue.,"Şirket, ona bir oranında bedelsiz hisse verileceğini açıkladı."
B,Bonus plan,İkramiye planı,An arrangement granting employees additional rewards based on performance.,The bonus plan rewards staff when annual targets are met.,"İkramiye planı, yıllık hedefler tutturulduğunda personeli ödüllendirir."
B,Book of contracts,Poliçeler bütünü,The complete set of insurance contracts an insurer manages together as a portfolio.,Management reviews the book of contracts regularly to assess insurance risk.,"Yönetim, sigorta riskini değerlendirmek için poliçeler bütününü düzenli olarak gözden geçirir."
B,Book value,Defter değeri,Amount at which an asset is recorded in the books.,The machine's book value is lower than its market value.,"Makinenin defter değeri, piyasa değerinden düşüktür."
B,Borrower,Borçlu,The party that receives funds and is obligated to repay them.,The borrower must repay the loan with interest.,"Borçlu, krediyi faiziyle birlikte geri ödemek zorundadır."
B,Borrowing Costs,Borçlanma Maliyetleri,Interest and other costs of borrowing funds.,Borrowing costs directly attributable to the asset are capitalised.,Varlıkla doğrudan ilişkilendirilebilen borçlanma maliyetleri aktife alınır.
B,Bottom-up test,Esastan başlayarak sonuca gidilen test,An impairment test starting at the lowest level of cash generation.,The bottom-up test assessed individual assets for impairment.,"Esastan başlayarak yapılan test, tek tek varlıkları değer düşüklüğü açısından değerlendirdi."
B,Brand,Marka,A marketing-related intangible asset such as a name or symbol that identifies a product and creates value for the entity.,An internally generated brand cannot be recognised as an intangible asset.,"İşletme içinde yaratılan bir marka, maddi olmayan duran varlık olarak muhasebeleştirilemez."
B,Build-operate-transfer,Yap-işlet-devret,A concession model for delivering infrastructure.,"Under build-operate-transfer, the operator builds and runs the asset.","Yap-işlet-devret modelinde işletmeci, varlığı inşa edip işletir."
B,Business,İşletme,An integrated set of activities and assets conducted for profit.,The acquirer purchased the business as a going concern.,"Edinen taraf, işletmeyi işleyen bir bütün olarak satın aldı."
B,Business combination involving entities orbusinesses under common control,Ortak kontrole tabi işletmelerin birleşmesi,A combination of entities all ultimately controlled by the same party.,The merger of two subsidiaries is a combination under common control.,"İki bağlı ortaklığın birleşmesi, ortak kontrol altında bir birleşmedir."
B,Business Combinations,İşletme Birleşmeleri,"The standard governing how an acquirer recognises and measures the assets, liabilities and goodwill in a combination.",The acquisition was accounted for in accordance with the standard on Business Combinations.,"Satın alma işlemi, İşletme Birleşmeleri standardına uygun olarak muhasebeleştirilmiştir."
B,Business Combinations – Subsequent Adjustment of Fair Values and Goodwill Initially Reported,İşletme Birleşmeleri – İlk Raporlanan Gerçeğe Uygun Değerlerin ve Şerefiyenin Sonradan Düzeltilmesi,Later correction of provisional fair values and goodwill in combinations.,The standard addresses subsequent adjustment of fair values and goodwill initially reported.,"Standart, ilk raporlanan gerçeğe uygun değerlerin ve şerefiyenin sonradan düzeltilmesini ele alır."
B,Business Combinations- “Date of Exchange” and Fair Value of Equity Instruments,İşletme Birleşmeleri – “Hisse Değişim Tarihi” ve Özkaynağa Dayalı Araçların Gerçeğe Uygun Değerleri,Guidance on the exchange date and fair value of equity instruments in business combinations.,The interpretation addressed the date of exchange in a business combination.,"Yorum, bir işletme birleşmesindeki hisse değişim tarihini ele aldı."
