Bolum,Ingilizce_Terim,Almanca_Anlami,Almanca_Tanim,Ornek_Almanca
B,Balance sheet liability method,Bilanzschuldnermethode / bilanzielle Schuldendotationsmethode,"Methode, bei der latente Steuern aus bilanziellen Unterschieden angesetzt werden.",Latente Steuern werden nach der Bilanzschuldnermethode berechnet.
B,Bank,Bank,"Ein Finanzinstitut, das Einlagen entgegennimmt und Kredite vergibt.",Die Angaben für Banken behandeln das Kredit- und Liquiditätsrisiko.
B,Bank overdraft,Banküberziehung / Kontokorrentkredit,"Eine kurzfristige Kreditlinie, die es einem Unternehmen erlaubt, mehr Geld abzuheben, als sein Kontoguthaben beträgt.",Die Banküberziehung ist jederzeit fällig und wird als kurzfristige Verbindlichkeit ausgewiesen.
B,Bankruptcy,Insolvenz / Konkurs,Ein gerichtliches Verfahren für zahlungsunfähige Unternehmen.,Die Insolvenzverfahren wurden als Ereignis nach dem Berichtszeitpunkt offengelegt.
B,Bargain purchase,Begünstigter Erwerb / Schnäppchenkauf,"Eine Unternehmenszusammenschließung, bei der die Gegenleistung unter dem beizulegenden Zeitwert des Nettovermögens liegt.",Der begünstigte Erwerb führte zu einem Ertrag für den Erwerber.
B,Basic earnings per share,Ergebnis je Aktie (unverwässert) / Basisgewinn je Aktie,"Das den Inhabern von Stammaktien zurechenbare Ergebnis, geteilt durch die gewichtete durchschnittliche Zahl der ausstehenden Aktien.",Das Unternehmen wies ein unverwässertes Ergebnis je Aktie von zwei Lira aus.
B,Basic loan features,Grundlegende Kreditmerkmale,"Vertragliche Bedingungen eines Schuldtitels wie Zinszahlung und Rückzahlung, die für ein einfaches Kreditgeschäft typisch sind.",Das Finanzinstrument wurde als mit grundlegenden Kreditmerkmalen ausgestattet beurteilt und erfüllte damit den Test auf ausschließliche Zins- und Tilgungszahlungen.
B,Basis adjustment,Basisanpassung / Anpassung der steuerlichen Bemessungsgrundlage,Anpassung der steuerlichen Bemessungsgrundlage eines Vermögenswerts oder einer Schuld.,Nach der Neubewertung des Vermögenswerts wurde eine Basisanpassung vorgenommen.
B,Basis for Conclusions,Basis für Schlussfolgerungen,"Ein Dokument, das die Begründung für die Schlussfolgerungen eines Standards erläutert.","Die Basis für Schlussfolgerungen erläutert, warum das Board die Alternative abgelehnt hat."
B,Basis point,Basispunkt,Ein Hundertstel eines Prozentpunkts.,Der Zinssatz stieg um 25 Basispunkte.
B,Bearer biological asset,Tragende biologische Vermögenswerte (Trägervermögen),"Lebende Vermögenswerte, die zur Erzeugung von Erzeugnissen gehalten werden.",Tragende Pflanzen (Dauerkulturen) werden als Sachanlagen bilanziert.
B,Benchmark treatment,Basisbehandlung / maßgebliche Methode,"Die von einem Standard bevorzugte oder als Referenz zugelassene Bilanzierungsmethode, die als Standardvorgehen dient, sofern keine Alternative angewendet wird.","Unternehmen sollten die Basisbehandlung anwenden, sofern nationale Vorschriften keine zugelassene Alternative verlangen."
B,Beneficial contracts,Vorteilhafte Arbeitsverträge,"Verträge, die zum Nutzen des Unternehmens eingegangen werden.",Vorteilhafte Arbeitsverträge können bei einer Unternehmenszusammenschließung angesetzt werden.
B,Beneficiary,Begünstigter / Empfänger,"Eine Person oder ein Unternehmen, die berechtigt ist, Leistungen aus einer Vereinbarung zu erhalten.",Der Begünstigte erhält die Ausschüttungen aus dem Treuhandvermögen.
B,Benefit,Leistung / Vergünstigung,"Ein Vorteil oder Anspruch, der aus einem Plan oder Vertrag zusteht.",Die Arbeitnehmer erhalten nach dem Ruhestandseintritt eine Versorgungsleistung.
B,Benefit improvements,Leistungsverbesserungen,"Erhöhungen der Leistungen eines Plans mit Leistungszusage, die zu Aufwand für frühere Dienstperioden führen.",Die in diesem Jahr gewährten Leistungsverbesserungen erhöhten die Verpflichtung aus Leistungszusagen.
B,Benefit obligation,Verpflichtung aus zugesagten Leistungen,Barwert der zugesagten und zu zahlenden Arbeitnehmerleistungen.,Die Verpflichtung aus zugesagten Leistungen wurde zum Jahresende bewertet.
B,Benefit to users,Nutzen für die Nutzer,Die Nützlichkeit von Finanzinformationen für die primären Nutzer des Jahresabschlusses.,Verbesserte Angaben erhöhen den Nutzen für die Nutzer.
B,Best estimate,Beste Schätzung / wahrscheinlichster Wert,"Der wahrscheinlichste Betrag, mit dem eine Rückstellung bewertet wird.",Die Rückstellung wird mit der besten Schätzung der Geschäftsleitung bemessen.
B,Bias,Verzerrung / systematische Abweichung,"Eine Tendenz, die das Urteil oder Informationen verzerrt.",Verzerrungen in Schätzungen können die Neutralität der Informationen beeinträchtigen.
B,Bid bonds,Bietungsgarantien / Angebotsbürgschaften,"Garantien oder Bürgschaften, die eine Partei stellt, um ihre Leistung bei der Angebotsabgabe für einen Vertrag abzusichern.","Der Auftragnehmer stellte Bietungsgarantien, um sein Angebot für das Bauprojekt zu untermauern."
B,Bid price,Geldkurs / Ankaufspreis,"Der Preis, zu dem ein Käufer zu kaufen bereit ist.",Der Geldkurs wird für Short-Positionen verwendet.
B,Bid-ask spread,Geld-Brief-Spanne / Spread,Die Differenz zwischen dem besten Geldkurs und dem besten Briefkurs.,Eine enge Geld-Brief-Spanne deutet auf einen liquiden Markt hin.
B,Bifurcation methodology,Bifurkationsmethode / Aufspaltungsmethode,Ein Verfahren zur Abtrennung eines eingebetteten Derivats vom Basiskontrakt.,Die Bifurkationsmethode wurde auf die Wandelanleihe angewendet.
B,Binding sale agreement,Verbindliche Verkaufsvereinbarung,"Eine rechtlich durchsetzbare Vereinbarung über den Verkauf eines Vermögenswerts, die die Parteien an das Geschäft bindet.","Da eine verbindliche Verkaufsvereinbarung vorlag, wurde das Grundstück als zur Veräußerung gehalten klassifiziert."
B,Binomial,Binomialmodell,"Ein Bewertungsmodell mit zwei möglichen Ausgängen, das zur Optionspreisbewertung verwendet wird.",Das Binomialmodell bewertete die Aktienoptionen für Arbeitnehmer.
B,Biological asset,Biologischer Vermögenswert / lebender Vermögenswert,Ein lebendes Tier oder eine lebende Pflanze im Anwendungsbereich der landwirtschaftlichen Tätigkeit.,Der biologische Vermögenswert wurde mit dem beizulegenden Zeitwert abzüglich Veräußerungskosten bewertet.
B,Biological transformation,Biologische Transformation,"Wachstum, Degeneration, Erzeugung oder Fortpflanzung bei lebenden Vermögenswerten.",Die biologische Transformation führt zu Änderungen des beizulegenden Zeitwerts eines Vermögenswerts.
B,Black-Scholes-Merton formula,Black-Scholes-Merton-Formel,Ein Optionspreismodell.,Die Black-Scholes-Merton-Formel bewertet die Aktienoption.
B,Board of directors,Verwaltungsrat / Vorstand,"Das von den Aktionären gewählte Leitungsorgan, das die strategische Ausrichtung und die Führung eines Unternehmens überwacht.",Der Verwaltungsrat genehmigte den Jahresabschluss zur Veröffentlichung.
B,Bond,Anleihe / Schuldverschreibung,Ein verzinsliches Schuldinstrument in Wertpapierform.,Die Anleihe wird zu fortgeführten Anschaffungskosten bewertet.
B,Bonus issue,Unentgeltliche Aktienausgabe / Berichtigungsaktien,"Kostenlose Aktien, die den bestehenden Aktionären aus Rücklagen ausgegeben werden.",Das Unternehmen kündigte eine unentgeltliche Aktienausgabe im Verhältnis von einer Aktie auf zehn an.
B,Bonus plan,Bonusplan / Prämienplan,"Eine Vereinbarung, die Arbeitnehmern zusätzliche Vergütungen auf Grundlage ihrer Leistung gewährt.","Der Bonusplan prämiert die Mitarbeiter, wenn die Jahresziele erreicht werden."
B,Book of contracts,Vertragsbestand / Versicherungsbestand,"Die Gesamtheit der Versicherungsverträge, die ein Versicherer gemeinsam als Portfolio verwaltet.","Die Geschäftsleitung prüft den Vertragsbestand regelmäßig, um das Versicherungsrisiko zu beurteilen."
B,Book value,Buchwert,"Der Betrag, mit dem ein Vermögenswert in den Büchern erfasst ist.",Der Buchwert der Maschine ist niedriger als ihr Marktwert.
B,Borrower,Kreditnehmer / Darlehensnehmer,"Die Partei, die Mittel empfängt und zu deren Rückzahlung verpflichtet ist.",Der Kreditnehmer muss das Darlehen zuzüglich Zinsen zurückzahlen.
B,Borrowing Costs,Fremdkapitalkosten / Kreditkosten,Zinsen und sonstige Kosten der Fremdkapitalaufnahme.,"Fremdkapitalkosten, die direkt einem Vermögenswert zurechenbar sind, werden aktiviert."
B,Bottom-up test,Bottom-up-Test,"Ein Wertminderungstest, der auf der untersten Ebene der Mittelgenerierung beginnt.",Der Bottom-up-Test prüfte die einzelnen Vermögenswerte auf Wertminderung.
B,Brand,Marke / Markenzeichen,"Ein marketingbezogener immaterieller Vermögenswert wie ein Name oder ein Symbol, der ein Produkt kennzeichnet und dem Unternehmen Wert verleiht.",Eine im Unternehmen selbst geschaffene Marke kann nicht als immaterieller Vermögenswert angesetzt werden.
B,Build-operate-transfer,Build-Operate-Transfer (Bau-Betrieb-Übergabe),Ein Konzessionsmodell zur Bereitstellung von Infrastruktur.,Beim Build-Operate-Transfer errichtet und betreibt der Betreiber den Vermögenswert.
B,Business,Unternehmen / Geschäftsbetrieb,"Ein integriertes Bündel von Tätigkeiten und Vermögenswerten, das zur Erzielung von Ertrag betrieben wird.",Der Erwerber erwarb das Unternehmen auf Going-Concern-Basis als fortgeführten Geschäftsbetrieb.
B,Business combination involving entities orbusinesses under common control,Zusammenschließung unter gemeinsamer Kontrolle,"Eine Zusammenführung von Unternehmen, die letztlich sämtlich von derselben Partei kontrolliert werden.",Die Verschmelzung zweier Tochterunternehmen ist eine Zusammenschließung unter gemeinsamer Kontrolle.
B,Business Combinations,Unternehmenszusammenschließungen,"Der Standard, der regelt, wie der Erwerber die Vermögenswerte, die Schulden und den Firmenwert einer Zusammenschließung ansetzt und bewertet.",Die Akquisition wurde in Übereinstimmung mit dem Standard über Unternehmenszusammenschließungen bilanziert.
B,Business Combinations – Subsequent Adjustment of Fair Values and Goodwill Initially Reported,Unternehmenszusammenschließungen – Nachträgliche Anpassung der ursprünglich berichteten beizulegenden Zeitwerte und des Firmenwerts,Die nachträgliche Korrektur vorläufiger beizulegender Zeitwerte und des Firmenwerts bei Zusammenschließungen.,Der Standard behandelt die nachträgliche Anpassung der ursprünglich erfassten beizulegenden Zeitwerte und des Firmenwerts.
B,Business Combinations- “Date of Exchange” and Fair Value of Equity Instruments,Unternehmenszusammenschließungen – Umtauschdatum und beizulegender Zeitwert von Eigenkapitalinstrumenten,Leitlinien zum Umtauschdatum und zum beizulegenden Zeitwert von Eigenkapitalinstrumenten bei Unternehmenszusammenschließungen.,Die Auslegung behandelte das Umtauschdatum in einer Unternehmenszusammenschließung.
B,Business Combinations-Classification either as Acquisitions or Unitings of Interests,Unternehmenszusammenschließungen – Klassifizierung als Kauf oder als Zusammengehen von Interessen,Die Klassifizierung von Unternehmenszusammenschließungen als Käufe oder als Verschmelzungen.,Die Zusammenschließung wurde als Kauf klassifiziert.
B,Business model,Geschäftsmodell,"Die Art und Weise, wie ein Unternehmen seine finanziellen Vermögenswerte verwaltet.","Das Geschäftsmodell bestimmt, wie finanzielle Vermögenswerte klassifiziert werden."
B,Business segment,Geschäftsbereich / operatives Segment,"Ein abgrenzbarer Bestandteil eines Unternehmens, der Geschäftstätigkeiten mit Umsatzerlösen und Aufwendungen ausübt.",Die Ergebnisse jedes Geschäftsbereichs werden im Segmentanhang gesondert berichtet.
B,Business unit,Geschäftseinheit,Ein Bestandteil der Geschäftstätigkeit eines Unternehmens.,Die Geschäftseinheit wurde als gesonderter Bestandteil berichtet.
B,Buying segment,Beschaffungsbereich / Einkaufsbereich,"Ein Bestandteil eines Unternehmens, der als Einheit für Beschaffungsentscheidungen dient.",Der Beschaffungsbereich verhandelte seine eigenen Bezugsverträge.
B,By class of financial asset,Nach Klassen finanzieller Vermögenswerte,Die Aufgliederung von Informationen nach Kategorien finanzieller Vermögenswerte.,Das Kreditrisiko wird nach Klassen finanzieller Vermögenswerte offengelegt.
B,By-product,Nebenprodukt / Kuppelprodukt,"Ein untergeordnetes Produkt, das bei einem gemeinsamen Produktionsprozess nebenbei anfällt und im Wert gegenüber dem Hauptprodukt unerheblich ist.",Das Nebenprodukt wird mit dem netto realisierbaren Wert bewertet und von den Kosten des Hauptprodukts abgezogen.
C,Call options,Kaufoptionen,"Kontrakte, die das Recht zum Kauf eines Vermögenswerts einräumen.",Geschriebene (verkaufte) Kaufoptionen werden als Schulden behandelt.
C,Callable,Kündbar / vorzeitig rückzahlbar,"Ein Finanzinstrument, das der Emittent vor Fälligkeit zurückzahlen kann.",Die Anleihe ist nach Wahl des Emittenten kündbar.
C,Cap,Zinsobergrenze (Cap),Eine Obergrenze für einen Zinssatz.,Das Darlehen enthält eine Obergrenze (Cap) für den variablen Zinssatz.
C,Capital,Kapital,Die in ein Unternehmen eingebrachten Mittel.,Das Kapital wird innerhalb des Eigenkapitals ausgewiesen.
C,Capital appreciation,Wertsteigerung / Kapitalzuwachs,Eine Zunahme des Werts einer Investition oder eines Vermögenswerts über die ursprünglichen Kosten hinaus.,Die Investition wurde überwiegend zur Wertsteigerung und nicht zur Erzielung von Dividendenerträgen gehalten.
C,Capital approach,Kapitalansatz / Kapitalerhaltungskonzeption,Die Erhaltung des Kapitals in finanzieller oder sachlicher Hinsicht.,Der Kapitalansatz unterscheidet finanzielles und sachliches Kapital.
C,Capital asset pricing model,Capital Asset Pricing Model (CAPM),"Ein Modell, das die erwartete Rendite mit dem systematischen Risiko verknüpft.",Das Capital Asset Pricing Model schätzt die Eigenkapitalkosten.
C,Capital contribution,Kapitaleinlage / Einlage der Gesellschafter,Von den Eigentümern gegen Einräumung von Eigenkapitalanteilen erbrachte Mittel.,Das Mutterunternehmen leistete an sein Tochterunternehmen eine Kapitaleinlage.
C,Capital expenditure,Investitionsausgaben / Investitionsaufwand,"Ausgaben für die Anschaffung oder Verbesserung langlebiger Vermögenswerte, die aktiviert und nicht als Aufwand erfasst werden.",Die Investitionsausgaben für das neue Werk wurden als Sachanlagen erfasst.
C,Capital gain,Kapitalgewinn / Veräußerungsgewinn,Gewinn aus dem Verkauf eines Vermögenswerts über dessen Anschaffungskosten.,Das Unternehmen wies einen Kapitalgewinn aus dem Grundstücksverkauf aus.
C,Capital maintenance,Kapitalerhaltung,"Das Konzept, dass ein Gewinn erst nach Erhaltung des Kapitals erwirtschaftet ist.",Kapitalerhaltung kann in finanzieller oder sachlicher Hinsicht gemessen werden.
C,Capital maintenance adjustment,Kapitalerhaltungsanpassung,Eine Anpassung zur Erhaltung des Kapitals in der Inflationsbilanzierung.,Eine Kapitalerhaltungsanpassung wurde im Eigenkapital erfasst.
C,Capitalisation,Aktivierung / Kapitalisierung,Die Erfassung einer Kostenposition als Vermögenswert.,Die Aktivierung von Fremdkapitalkosten gilt für qualifizierte Vermögenswerte.
C,Capitalisation of interest,Zinsaktivierung / Aktivierung von Zinsen,Die Hinzurechnung der direkt der Anschaffung oder Herstellung eines qualifizierten Vermögenswerts zurechenbaren Fremdkapitalkosten zu dessen Kosten.,Die Aktivierung der Zinsen für das Darlehen zum Bau des Werks begann mit dem Baubeginn.
C,Capped interest rate,Gedeckelter Zinssatz / Zinsobergrenze,Ein Zinssatz mit einer Obergrenze.,Der gedeckelte Zinssatz schützt den Kreditnehmer.
C,Capping mechanism,Deckelungsmechanismus / Obergrenzenmechanismus,"Eine Ausgestaltung, die begrenzt, wie hoch ein Satz oder eine Zahlung steigen kann.",Der Deckelungsmechanismus begrenzt den Zinssatz des Darlehens.
C,Carried at cost,Mit Anschaffungskosten bilanziert,Die Bewertung eines Vermögenswerts oder einer Schuld zu den ursprünglichen Kosten abzüglich Anpassungen.,Anteile an Tochterunternehmen werden in den Einzelabschlüssen zu Anschaffungskosten bilanziert.
